timestamp,heart_rate_bpm,rr_intervals_ms,flags_hex,energy_expended,sensor_contact,signal_stable
2025-07-10T11:40:21.376647,68,,0x00,,no,no
2025-07-10T11:40:22.426076,68,,0x00,,no,no
2025-07-10T11:40:23.416855,69,,0x00,,no,no
2025-07-10T11:40:24.406967,69,,0x00,,no,no
2025-07-10T11:40:25.396712,69,,0x00,,no,no
2025-07-10T11:40:26.387145,68,,0x00,,no,no
2025-07-10T11:40:27.375934,68,,0x00,,no,no
2025-07-10T11:40:28.397002,68,,0x00,,no,no
2025-07-10T11:40:29.385632,67,,0x00,,no,no
2025-07-10T11:40:30.375903,67,,0x00,,no,no
2025-07-10T11:40:31.396588,67,,0x00,,no,no
2025-07-10T11:40:32.386531,67,,0x00,,no,no
2025-07-10T11:40:33.377128,67,,0x00,,no,no
2025-07-10T11:40:34.395657,67,,0x00,,no,no
2025-07-10T11:40:35.386968,67,,0x00,,no,no
2025-07-10T11:40:36.377389,67,,0x00,,no,no
2025-07-10T11:40:37.457764,67,,0x00,,no,no
2025-07-10T11:40:38.386806,67,,0x00,,no,no
2025-07-10T11:40:39.377664,67,,0x00,,no,no
2025-07-10T11:40:40.396472,67,,0x00,,no,no
2025-07-10T11:40:41.386758,66,,0x00,,no,no
2025-07-10T11:40:42.377909,66,,0x00,,no,no
2025-07-10T11:40:43.427866,66,,0x00,,no,no
2025-07-10T11:40:44.388468,67,,0x00,,no,no
2025-07-10T11:40:45.377807,67,,0x00,,no,no
2025-07-10T11:40:46.398107,67,,0x00,,no,no
2025-07-10T11:40:47.387139,67,,0x00,,no,no
2025-07-10T11:40:48.376940,66,,0x00,,no,no
2025-07-10T11:40:49.398285,67,,0x00,,no,no
2025-07-10T11:40:50.387014,67,,0x00,,no,no
2025-07-10T11:40:51.377116,67,,0x00,,no,no
2025-07-10T11:40:52.397014,68,,0x00,,no,no
2025-07-10T11:40:53.387260,68,,0x00,,no,no
2025-07-10T11:40:54.378141,68,,0x00,,no,no
2025-07-10T11:40:55.398698,69,,0x00,,no,no
2025-07-10T11:40:56.416899,69,,0x00,,no,no
2025-07-10T11:40:57.437910,70,,0x00,,no,no
2025-07-10T11:40:58.398454,70,,0x00,,no,no
2025-07-10T11:40:59.387041,70,,0x00,,no,no
2025-07-10T11:41:00.377543,70,,0x00,,no,no
2025-07-10T11:41:01.397648,69,,0x00,,no,no
2025-07-10T11:41:02.388730,69,,0x00,,no,no
2025-07-10T11:41:03.408724,69,,0x00,,no,no
2025-07-10T11:41:04.397648,68,,0x00,,no,no
2025-07-10T11:41:05.387205,68,,0x00,,no,no
2025-07-10T11:41:06.377694,68,,0x00,,no,no
2025-07-10T11:41:07.398402,67,,0x00,,no,no
2025-07-10T11:41:08.387425,67,,0x00,,no,no
2025-07-10T11:41:09.378620,67,,0x00,,no,no
