timestamp,heart_rate_bpm,rr_intervals_ms,flags_hex,energy_expended
2025-07-10T11:19:15.397819,77,,0x00,
2025-07-10T11:19:16.385065,75,,0x00,
2025-07-10T11:19:17.376889,74,,0x00,
2025-07-10T11:19:18.395276,74,,0x00,
2025-07-10T11:19:19.386059,74,,0x00,
2025-07-10T11:19:20.407073,75,,0x00,
2025-07-10T11:19:21.396333,75,,0x00,
2025-07-10T11:19:22.385797,75,,0x00,
2025-07-10T11:19:23.378914,74,,0x00,
2025-07-10T11:19:24.395130,73,,0x00,
2025-07-10T11:19:25.415753,72,,0x00,
2025-07-10T11:19:26.375738,72,,0x00,
2025-07-10T11:19:27.425994,71,,0x00,
2025-07-10T11:19:28.385201,71,,0x00,
2025-07-10T11:19:29.376278,71,,0x00,
2025-07-10T11:19:30.396851,71,,0x00,
2025-07-10T11:19:31.417366,71,,0x00,
2025-07-10T11:19:32.377474,71,,0x00,
2025-07-10T11:19:33.395893,71,,0x00,
2025-07-10T11:19:34.386531,70,,0x00,
2025-07-10T11:19:35.376424,70,,0x00,
2025-07-10T11:19:36.425553,69,,0x00,
2025-07-10T11:19:37.386505,69,,0x00,
2025-07-10T11:19:38.405830,69,,0x00,
2025-07-10T11:19:39.395953,70,,0x00,
2025-07-10T11:19:40.386692,70,,0x00,
2025-07-10T11:19:41.376068,72,,0x00,
2025-07-10T11:19:42.426620,74,,0x00,
2025-07-10T11:19:43.417930,74,,0x00,
2025-07-10T11:19:44.407632,74,,0x00,
2025-07-10T11:19:45.398049,73,,0x00,
2025-07-10T11:19:46.388078,73,,0x00,
2025-07-10T11:19:47.407825,72,,0x00,
2025-07-10T11:19:48.428019,71,,0x00,
2025-07-10T11:19:49.388809,70,,0x00,
2025-07-10T11:19:50.408048,71,,0x00,
2025-07-10T11:19:51.398263,71,,0x00,
2025-07-10T11:19:52.417456,71,,0x00,
2025-07-10T11:19:53.377152,72,,0x00,
2025-07-10T11:19:54.397351,71,,0x00,
2025-07-10T11:19:55.387587,71,,0x00,
2025-07-10T11:19:56.378443,71,,0x00,
2025-07-10T11:19:57.398536,70,,0x00,
2025-07-10T11:19:58.418301,69,,0x00,
2025-07-10T11:19:59.378458,69,,0x00,
2025-07-10T11:20:00.398686,70,,0x00,
2025-07-10T11:20:01.388681,70,,0x00,
2025-07-10T11:20:02.408472,72,,0x00,
2025-07-10T11:20:03.397970,72,,0x00,
2025-07-10T11:20:04.388931,72,,0x00,
2025-07-10T11:20:05.376894,72,,0x00,
2025-07-10T11:20:06.398302,71,,0x00,
2025-07-10T11:20:07.388033,70,,0x00,
2025-07-10T11:20:08.378702,70,,0x00,
2025-07-10T11:20:09.428235,70,,0x00,
2025-07-10T11:20:10.389025,71,,0x00,
2025-07-10T11:20:11.378661,71,,0x00,
2025-07-10T11:20:12.399102,71,,0x00,
2025-07-10T11:20:13.388657,71,,0x00,
2025-07-10T11:20:14.379134,71,,0x00,
2025-07-10T11:20:15.367763,70,,0x00,
2025-07-10T11:20:16.419143,70,,0x00,
2025-07-10T11:20:17.408637,70,,0x00,
2025-07-10T11:20:18.367912,70,,0x00,
2025-07-10T11:20:19.389224,69,,0x00,
2025-07-10T11:20:20.378323,69,,0x00,
2025-07-10T11:20:21.369456,69,,0x00,
2025-07-10T11:20:22.389017,68,,0x00,
2025-07-10T11:20:23.379618,68,,0x00,
2025-07-10T11:20:24.368684,68,,0x00,
2025-07-10T11:20:25.389963,68,,0x00,
2025-07-10T11:20:26.379741,68,,0x00,
2025-07-10T11:20:27.370167,68,,0x00,
2025-07-10T11:20:28.390110,69,,0x00,
2025-07-10T11:20:29.379639,70,,0x00,
2025-07-10T11:20:30.370003,70,,0x00,
2025-07-10T11:20:31.388191,70,,0x00,
2025-07-10T11:20:32.379084,70,,0x00,
2025-07-10T11:20:33.369070,70,,0x00,
2025-07-10T11:20:34.389058,70,,0x00,
2025-07-10T11:20:35.380211,71,,0x00,
2025-07-10T11:20:36.369539,71,,0x00,
2025-07-10T11:20:37.388723,72,,0x00,
2025-07-10T11:20:38.378740,72,,0x00,
2025-07-10T11:20:39.368746,72,,0x00,
2025-07-10T11:20:40.389529,73,,0x00,
2025-07-10T11:20:41.379355,73,,0x00,
2025-07-10T11:20:42.369389,73,,0x00,
2025-07-10T11:20:43.390776,73,,0x00,
2025-07-10T11:20:44.379799,73,,0x00,
2025-07-10T11:20:45.368937,73,,0x00,
2025-07-10T11:20:46.389219,73,,0x00,
2025-07-10T11:20:47.379556,74,,0x00,
2025-07-10T11:20:48.369346,74,,0x00,
2025-07-10T11:20:49.419429,75,,0x00,
2025-07-10T11:20:50.379290,75,,0x00,
2025-07-10T11:20:51.369251,75,,0x00,
2025-07-10T11:20:52.421406,75,,0x00,
2025-07-10T11:20:53.379579,74,,0x00,
2025-07-10T11:20:54.369366,74,,0x00,
2025-07-10T11:20:55.389586,74,,0x00,
2025-07-10T11:20:56.380020,75,,0x00,
2025-07-10T11:20:57.369350,75,,0x00,
2025-07-10T11:20:58.389774,75,,0x00,
2025-07-10T11:20:59.379374,75,,0x00,
2025-07-10T11:21:00.369515,75,,0x00,
2025-07-10T11:21:01.419665,76,,0x00,
2025-07-10T11:21:02.379728,76,,0x00,
2025-07-10T11:21:03.369791,75,,0x00,
2025-07-10T11:21:04.391409,75,,0x00,
2025-07-10T11:21:05.381164,75,,0x00,
2025-07-10T11:21:06.371310,74,,0x00,
2025-07-10T11:21:07.420510,74,,0x00,
2025-07-10T11:21:08.381271,73,,0x00,
2025-07-10T11:21:09.371411,73,,0x00,
2025-07-10T11:21:10.390425,72,,0x00,
2025-07-10T11:21:11.380358,71,,0x00,
2025-07-10T11:21:12.370366,71,,0x00,
2025-07-10T11:21:13.392085,71,,0x00,
2025-07-10T11:21:14.381690,69,,0x00,
2025-07-10T11:21:15.371789,68,,0x00,
2025-07-10T11:21:16.421386,68,,0x00,
2025-07-10T11:21:17.380787,67,,0x00,
2025-07-10T11:21:18.400090,67,,0x00,
2025-07-10T11:21:19.392050,67,,0x00,
2025-07-10T11:21:20.381612,67,,0x00,
2025-07-10T11:21:21.371003,68,,0x00,
2025-07-10T11:21:22.420263,69,,0x00,
2025-07-10T11:21:23.380375,69,,0x00,
2025-07-10T11:21:24.370750,69,,0x00,
2025-07-10T11:21:25.421290,70,,0x00,
2025-07-10T11:21:26.382313,71,,0x00,
2025-07-10T11:21:27.371930,71,,0x00,
2025-07-10T11:21:28.391098,71,,0x00,
2025-07-10T11:21:29.413111,71,,0x00,
2025-07-10T11:21:30.372383,71,,0x00,
2025-07-10T11:21:31.391654,72,,0x00,
2025-07-10T11:21:32.381265,72,,0x00,
2025-07-10T11:21:33.371102,72,,0x00,
2025-07-10T11:21:34.392044,72,,0x00,
2025-07-10T11:21:35.411855,72,,0x00,
2025-07-10T11:21:36.371425,71,,0x00,
2025-07-10T11:21:37.391884,71,,0x00,
2025-07-10T11:21:38.381883,71,,0x00,
2025-07-10T11:21:39.371134,71,,0x00,
2025-07-10T11:21:40.391715,71,,0x00,
2025-07-10T11:21:41.382320,71,,0x00,
2025-07-10T11:21:42.371472,71,,0x00,
2025-07-10T11:21:43.391396,70,,0x00,
2025-07-10T11:21:44.381859,70,,0x00,
2025-07-10T11:21:45.371523,69,,0x00,
2025-07-10T11:21:46.392109,69,,0x00,
2025-07-10T11:21:47.382128,69,,0x00,
2025-07-10T11:21:48.371816,68,,0x00,
2025-07-10T11:21:49.392105,68,,0x00,
2025-07-10T11:21:50.412190,68,,0x00,
2025-07-10T11:21:51.372030,69,,0x00,
2025-07-10T11:21:52.422103,69,,0x00,
2025-07-10T11:21:53.382881,70,,0x00,
2025-07-10T11:21:54.432606,71,,0x00,
2025-07-10T11:21:55.452629,71,,0x00,
2025-07-10T11:21:56.382680,71,,0x00,
2025-07-10T11:21:57.372804,71,,0x00,
2025-07-10T11:21:58.392620,71,,0x00,
2025-07-10T11:21:59.384033,71,,0x00,
2025-07-10T11:22:00.373620,71,,0x00,
2025-07-10T11:22:01.393750,71,,0x00,
2025-07-10T11:22:02.383088,71,,0x00,
2025-07-10T11:22:03.372380,71,,0x00,
2025-07-10T11:22:04.392995,71,,0x00,
2025-07-10T11:22:05.384299,71,,0x00,
2025-07-10T11:22:06.373714,70,,0x00,
2025-07-10T11:22:07.394177,70,,0x00,
2025-07-10T11:22:08.382438,70,,0x00,
2025-07-10T11:22:09.372437,69,,0x00,
2025-07-10T11:22:10.392422,69,,0x00,
